Lp,Periods,Correlation,Methods
139,9,0.9218123146694576,AVG TOPSIS/AVG VIKOR
140,10,0.6042647828362114,DARIA-TOPSIS/DARIA-VIKOR
141,10,0.29437031222745513,DARIA-TOPSIS/AVG TOPSIS
142,10,0.005385487528344668,DARIA-VIKOR/AVG VIKOR
143,10,0.9070076748648177,AVG TOPSIS/AVG VIKOR
144,5,0.8907421943136229,DARIA-TOPSIS/DARIA-VIKOR
145,5,0.3017617303331589,DARIA-TOPSIS/AVG TOPSIS
146,5,0.33459794174079893,DARIA-VIKOR/AVG VIKOR
147,5,0.96635705564277,AVG TOPSIS/AVG VIKOR
148,6,0.9561529740101169,DARIA-TOPSIS/DARIA-VIKOR
149,6,0.015960230245944507,DARIA-TOPSIS/AVG TOPSIS
150,6,0.01907814407814412,DARIA-VIKOR/AVG VIKOR
151,6,0.8990493633350776,AVG TOPSIS/AVG VIKOR
152,7,0.846001221001221,DARIA-TOPSIS/DARIA-VIKOR
153,7,0.37654805511948364,DARIA-TOPSIS/AVG TOPSIS
154,7,0.00047967905110757325,DARIA-VIKOR/AVG VIKOR
155,7,0.9436159079016222,AVG TOPSIS/AVG VIKOR
156,8,0.6895168323739752,DARIA-TOPSIS/DARIA-VIKOR
157,8,-0.03357753357753368,DARIA-TOPSIS/AVG TOPSIS
158,8,-0.007849293563579218,DARIA-VIKOR/AVG VIKOR
159,8,0.9667931275074132,AVG TOPSIS/AVG VIKOR
160,9,0.794762776905634,DARIA-TOPSIS/DARIA-VIKOR
161,9,0.36632216989359845,DARIA-TOPSIS/AVG TOPSIS
162,9,0.36211407639979065,DARIA-VIKOR/AVG VIKOR
163,9,0.8926391069248212,AVG TOPSIS/AVG VIKOR
164,10,0.8844191522762952,DARIA-TOPSIS/DARIA-VIKOR
165,10,0.33924210709924996,DARIA-TOPSIS/AVG TOPSIS
166,10,0.12456392813535666,DARIA-VIKOR/AVG VIKOR
167,10,0.8287327751613466,AVG TOPSIS/AVG VIKOR
168,5,0.9408468515611372,DARIA-TOPSIS/DARIA-VIKOR
169,5,0.24263038548752835,DARIA-TOPSIS/AVG TOPSIS
170,5,0.25087214372928657,DARIA-VIKOR/AVG VIKOR
171,5,0.91498778998779,AVG TOPSIS/AVG VIKOR
172,6,0.6957526600383743,DARIA-TOPSIS/DARIA-VIKOR
173,6,0.1428571428571429,DARIA-TOPSIS/AVG TOPSIS
174,6,-0.21389324960753542,DARIA-VIKOR/AVG VIKOR
