Lp,Alternatives,Correlation,Methods
212,100,0.769253519411347,DARIA-TOPSIS/DARIA-VIKOR
213,100,0.06514429660787857,DARIA-TOPSIS/AVG TOPSIS
214,100,-0.09258403068029586,DARIA-VIKOR/AVG VIKOR
215,100,0.8805985152970742,AVG TOPSIS/AVG VIKOR
216,200,0.8111118449603031,DARIA-TOPSIS/DARIA-VIKOR
217,200,0.06056223047367226,DARIA-TOPSIS/AVG TOPSIS
218,200,0.11443316679931925,DARIA-VIKOR/AVG VIKOR
219,200,0.868472577486079,AVG TOPSIS/AVG VIKOR
220,10,0.8523415977961433,DARIA-TOPSIS/DARIA-VIKOR
221,10,0.6253443526170799,DARIA-TOPSIS/AVG TOPSIS
222,10,0.41377410468319564,DARIA-VIKOR/AVG VIKOR
223,10,0.9008264462809917,AVG TOPSIS/AVG VIKOR
224,30,0.8485916251031612,DARIA-TOPSIS/DARIA-VIKOR
225,30,0.34938462090494815,DARIA-TOPSIS/AVG TOPSIS
226,30,0.32265958591983923,DARIA-VIKOR/AVG VIKOR
227,30,0.8564713480928631,AVG TOPSIS/AVG VIKOR
228,50,0.7896721041357719,DARIA-TOPSIS/DARIA-VIKOR
229,50,0.06805263281783303,DARIA-TOPSIS/AVG TOPSIS
230,50,-0.06324129651860755,DARIA-VIKOR/AVG VIKOR
231,50,0.8954838405950616,AVG TOPSIS/AVG VIKOR
232,100,0.8143119658500504,DARIA-TOPSIS/DARIA-VIKOR
233,100,0.20595817997641352,DARIA-TOPSIS/AVG TOPSIS
234,100,0.16567846883698267,DARIA-VIKOR/AVG VIKOR
235,100,0.8523590972958682,AVG TOPSIS/AVG VIKOR
236,200,0.8621277546864045,DARIA-TOPSIS/DARIA-VIKOR
237,200,0.25069401361899724,DARIA-TOPSIS/AVG TOPSIS
238,200,0.24794665389022785,DARIA-VIKOR/AVG VIKOR
239,200,0.9101738215097168,AVG TOPSIS/AVG VIKOR
240,10,0.8942148760330578,DARIA-TOPSIS/DARIA-VIKOR
241,10,0.2771349862258953,DARIA-TOPSIS/AVG TOPSIS
242,10,0.26831955922865014,DARIA-VIKOR/AVG VIKOR
243,10,0.9614325068870524,AVG TOPSIS/AVG VIKOR
244,30,0.7793821091535398,DARIA-TOPSIS/DARIA-VIKOR
245,30,0.1358570454627005,DARIA-TOPSIS/AVG TOPSIS
246,30,0.21080770748860744,DARIA-VIKOR/AVG VIKOR
