Lp,Criteria,Correlation,Methods
130,10,0.21173469387755106,DARIA-VIKOR/AVG VIKOR
131,10,0.8917015524158382,AVG TOPSIS/AVG VIKOR
132,16,0.8934894470608756,DARIA-TOPSIS/DARIA-VIKOR
133,16,0.1898002790859934,DARIA-TOPSIS/AVG TOPSIS
134,16,0.1824742717599861,DARIA-VIKOR/AVG VIKOR
135,16,0.9448587127158555,AVG TOPSIS/AVG VIKOR
136,24,0.9021236699808128,DARIA-TOPSIS/DARIA-VIKOR
137,24,0.36008634222919933,DARIA-TOPSIS/AVG TOPSIS
138,24,0.21932234432234432,DARIA-VIKOR/AVG VIKOR
139,24,0.9314495028780743,AVG TOPSIS/AVG VIKOR
140,32,0.8622230943659515,DARIA-TOPSIS/DARIA-VIKOR
141,32,0.14569160997732422,DARIA-TOPSIS/AVG TOPSIS
142,32,-0.08309349380777942,DARIA-VIKOR/AVG VIKOR
143,32,0.8447584161869877,AVG TOPSIS/AVG VIKOR
144,6,0.8808651665794522,DARIA-TOPSIS/DARIA-VIKOR
145,6,0.270255538112681,DARIA-TOPSIS/AVG TOPSIS
146,6,0.15373713587999305,DARIA-VIKOR/AVG VIKOR
147,6,0.9097985347985348,AVG TOPSIS/AVG VIKOR
148,8,0.8505363683935112,DARIA-TOPSIS/DARIA-VIKOR
149,8,0.31194400837257985,DARIA-TOPSIS/AVG TOPSIS
150,8,0.22084859584859584,DARIA-VIKOR/AVG VIKOR
151,8,0.9588566195709053,AVG TOPSIS/AVG VIKOR
152,10,0.739010989010989,DARIA-TOPSIS/DARIA-VIKOR
153,10,0.03026338740624457,DARIA-TOPSIS/AVG TOPSIS
154,10,0.2518315018315018,DARIA-VIKOR/AVG VIKOR
155,10,0.9316239316239316,AVG TOPSIS/AVG VIKOR
156,16,0.785365428222571,DARIA-TOPSIS/DARIA-VIKOR
157,16,0.20177045177045172,DARIA-TOPSIS/AVG TOPSIS
158,16,-0.0629905808477238,DARIA-VIKOR/AVG VIKOR
159,16,0.9493938601081459,AVG TOPSIS/AVG VIKOR
160,24,0.883350776207919,DARIA-TOPSIS/DARIA-VIKOR
161,24,0.06307779522065238,DARIA-TOPSIS/AVG TOPSIS
162,24,0.10487528344671204,DARIA-VIKOR/AVG VIKOR
163,24,0.8875370661084947,AVG TOPSIS/AVG VIKOR
164,32,0.8461538461538461,DARIA-TOPSIS/DARIA-VIKOR
165,32,0.47254927612070474,DARIA-TOPSIS/AVG TOPSIS
166,32,0.37103174603174605,DARIA-VIKOR/AVG VIKOR
167,32,0.8980245944531658,AVG TOPSIS/AVG VIKOR
168,6,0.9344147915576487,DARIA-TOPSIS/DARIA-VIKOR
169,6,0.4249738356881214,DARIA-TOPSIS/AVG TOPSIS
170,6,0.45499738356881214,DARIA-VIKOR/AVG VIKOR
171,6,0.9619091226234083,AVG TOPSIS/AVG VIKOR
172,8,0.8005407291121577,DARIA-TOPSIS/DARIA-VIKOR
173,8,0.07903802546659688,DARIA-TOPSIS/AVG TOPSIS
174,8,0.15744374672946104,DARIA-VIKOR/AVG VIKOR
175,8,0.9314931100645386,AVG TOPSIS/AVG VIKOR
176,10,0.9332810047095761,DARIA-TOPSIS/DARIA-VIKOR
177,10,0.4061791383219955,DARIA-TOPSIS/AVG TOPSIS
178,10,0.20057125414268273,DARIA-VIKOR/AVG VIKOR
179,10,0.9331937903366475,AVG TOPSIS/AVG VIKOR
180,16,0.9004011861154718,DARIA-TOPSIS/DARIA-VIKOR
181,16,0.04729199372056514,DARIA-TOPSIS/AVG TOPSIS
182,16,0.04450113378684806,DARIA-VIKOR/AVG VIKOR
183,16,0.9556732949590092,AVG TOPSIS/AVG VIKOR
184,24,0.7109715681144253,DARIA-TOPSIS/DARIA-VIKOR
185,24,0.34613204256061403,DARIA-TOPSIS/AVG TOPSIS
186,24,0.3360587824873539,DARIA-VIKOR/AVG VIKOR
187,24,0.8859236002093145,AVG TOPSIS/AVG VIKOR
188,32,0.6775248560962847,DARIA-TOPSIS/DARIA-VIKOR
189,32,-0.003684807256235878,DARIA-TOPSIS/AVG TOPSIS
190,32,0.20748299319727892,DARIA-VIKOR/AVG VIKOR
191,32,0.9102128030699459,AVG TOPSIS/AVG VIKOR
192,6,0.903061224489796,DARIA-TOPSIS/DARIA-VIKOR
193,6,-0.029042386185243352,DARIA-TOPSIS/AVG TOPSIS
194,6,0.026883830455258995,DARIA-VIKOR/AVG VIKOR
195,6,0.9457744636316064,AVG TOPSIS/AVG VIKOR
196,8,0.8766570730856446,DARIA-TOPSIS/DARIA-VIKOR
197,8,0.0924908424908425,DARIA-TOPSIS/AVG TOPSIS
198,8,0.08265742194313619,DARIA-VIKOR/AVG VIKOR
199,8,0.9818376068376068,AVG TOPSIS/AVG VIKOR
200,10,0.7834903192046049,DARIA-TOPSIS/DARIA-VIKOR
201,10,0.2707788243502529,DARIA-TOPSIS/AVG TOPSIS
202,10,0.044522937380080285,DARIA-VIKOR/AVG VIKOR
203,10,0.8958006279434851,AVG TOPSIS/AVG VIKOR
204,16,0.8819335426478283,DARIA-TOPSIS/DARIA-VIKOR
205,16,-0.09953340310483161,DARIA-TOPSIS/AVG TOPSIS
